action_type,mechanism_of_action,molecule_chembl_id,target_chembl_id
ANTAGONIST,Adenosine A1 receptor antagonist,CHEMBL414157,CHEMBL226
INVERSE AGONIST,Histamine H3 receptor inverse agonist,CHEMBL462605,CHEMBL264
ANTAGONIST,Corticotropin releasing factor receptor 1 antagonist,CHEMBL482950,CHEMBL1800
ANTAGONIST,Adenosine A1 receptor antagonist,CHEMBL52333,CHEMBL226
AGONIST,Beta-3 adrenergic receptor agonist,CHEMBL545437,CHEMBL246
ANTAGONIST,Endothelin receptor ET-A antagonist,CHEMBL2106068,CHEMBL252
AGONIST,Adenosine A3 receptor agonist,CHEMBL3989873,CHEMBL256
AGONIST,Nociceptin receptor agonist,CHEMBL2364605,CHEMBL2014
AGONIST,Opioid receptors; mu/kappa/delta agonist,CHEMBL2364605,CHEMBL2095181
INVERSE AGONIST,Serotonin 2a (5-HT2a) receptor inverse agonist,CHEMBL2448613,CHEMBL224
ANTAGONIST,Neurokinin 2 receptor antagonist,CHEMBL266125,CHEMBL2327
ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,CHEMBL74355,CHEMBL224
ANTAGONIST,Endothelin receptor ET-A antagonist,CHEMBL61780,CHEMBL252
ANTAGONIST,Endothelin receptor ET-B antagonist,CHEMBL61780,CHEMBL1785
ANTAGONIST,Thromboxane A2 receptor antagonist,CHEMBL2107786,CHEMBL2069
ANTAGONIST,Vasopressin V2 receptor antagonist,CHEMBL2107777,CHEMBL1790
ANTAGONIST,Endothelin receptor ET-A antagonist,CHEMBL3989834,CHEMBL252
AGONIST,Beta-3 adrenergic receptor agonist,CHEMBL2107773,CHEMBL246
ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,CHEMBL3989686,CHEMBL224
ANTAGONIST,Endothelin receptor ET-A antagonist,CHEMBL109648,CHEMBL252
ANTAGONIST,Neurotensin receptor 1 antagonist,CHEMBL506981,CHEMBL4123
AGONIST,Serotonin 1a (5-HT1a) receptor agonist,CHEMBL1742408,CHEMBL214
ANTAGONIST,Vasopressin V2 receptor antagonist,CHEMBL49429,CHEMBL1790
ANTAGONIST,Endothelin receptor ET-A antagonist,CHEMBL23261,CHEMBL252
ANTAGONIST,Endothelin receptor ET-B antagonist,CHEMBL23261,CHEMBL1785
AGONIST,Melanocortin receptor 4 agonist,CHEMBL2070241,CHEMBL259
AGONIST,Calcitonin receptor agonist,CHEMBL3545415,CHEMBL1832
AGONIST,Calcium sensing receptor agonist,CHEMBL3545184,CHEMBL1878
AGONIST,Glucagon-like peptide 1 receptor agonist,CHEMBL2107860,CHEMBL1784
ACTIVATOR,Relaxin receptor 1 activator,CHEMBL2108358,CHEMBL1293316
ACTIVATOR,Relaxin receptor 2 activator,CHEMBL2108358,CHEMBL1628482
AGONIST,Glucagon-like peptide 1 receptor agonist,CHEMBL2108724,CHEMBL1784
AGONIST,Somatostatin receptor 2 agonist,CHEMBL3349523,CHEMBL1804
AGONIST,Somatostatin receptor 3 agonist,CHEMBL3349523,CHEMBL2028
AGONIST,Somatostatin receptor 5 agonist,CHEMBL3349523,CHEMBL1792
AGONIST,Gonadotropin-releasing hormone receptor agonist,CHEMBL3544954,CHEMBL1855
ANTAGONIST,Gonadotropin-releasing hormone receptor antagonist,CHEMBL2108312,CHEMBL1855
MODULATOR,Dopamine D2 receptor modulator,CHEMBL596802,CHEMBL217
PARTIAL AGONIST,Neuronal acetylcholine receptor protein alpha-7 subunit partial agonist,CHEMBL2151572,CHEMBL2492
BLOCKER,Voltage-gated N-type calcium channel alpha-1B subunit blocker,CHEMBL2107771,CHEMBL4478
INHIBITOR,Monoamine oxidase B inhibitor,CHEMBL2107771,CHEMBL2039
BLOCKER,Sodium channel alpha subunit blocker,CHEMBL2107771,CHEMBL2331043
ANTAGONIST,Glutamate [NMDA] receptor antagonist,CHEMBL2107771,CHEMBL2094124
ANTAGONIST,Neuronal acetylcholine receptor; alpha4/beta2 antagonist,CHEMBL2103881,CHEMBL1907589
OPENER,Calcium-activated potassium channel subunit alpha-1 opener,CHEMBL266510,CHEMBL4304
ACTIVATOR,Voltage-gated potassium channel subunit Kv7.5 activator,CHEMBL266510,CHEMBL2925
ACTIVATOR,Voltage-gated potassium channel subunit Kv7.4 activator,CHEMBL266510,CHEMBL3576
ACTIVATOR,Voltage-gated potassium channel subunit Kv7.2 activator,CHEMBL266510,CHEMBL2476
ACTIVATOR,"Voltage-gated potassium channel, KQT; KCNQ2(Kv7.2)/KCNQ3(Kv7.3) activator",CHEMBL266510,CHEMBL2221348
ACTIVATOR,Voltage-gated potassium channel KCNQ3/KCNQ4 activator,CHEMBL266510,CHEMBL3707192
ANTAGONIST,G protein-coupled receptor 44 antagonist,CHEMBL2386081,CHEMBL5071
ANTAGONIST,Prostanoid DP receptor antagonist,CHEMBL3545043,CHEMBL4427
INHIBITOR,Stem cell growth factor receptor inhibitor,CHEMBL572881,CHEMBL1936
INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor,CHEMBL572881,CHEMBL2041
INHIBITOR,Vascular endothelial growth factor receptor inhibitor,CHEMBL572881,CHEMBL2095227
INHIBITOR,Platelet-derived growth factor receptor inhibitor,CHEMBL572881,CHEMBL2095189
ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,CHEMBL3306803,CHEMBL224
ANTAGONIST,Dopamine D2 receptor antagonist,CHEMBL3306803,CHEMBL217
INHIBITOR,Serotonin transporter inhibitor,CHEMBL3306803,CHEMBL228
MODULATOR,Voltage-gated calcium channel alpha2/delta subunit 1 modulator,CHEMBL3545257,CHEMBL1919
MODULATOR,Voltage-gated calcium channel alpha2/delta subunit 2 modulator,CHEMBL3545257,CHEMBL3896
OTHER,Mucin-16 other,CHEMBL1742981,CHEMBL3580482
INHIBITOR,Interleukin-5 receptor subunit alpha inhibitor,CHEMBL1742991,CHEMBL3580483
INHIBITOR,Interleukin-23 inhibitor,CHEMBL1742995,CHEMBL2364154
INHIBITOR,Interleukin-12 inhibitor,CHEMBL1742995,CHEMBL2364153
ANTAGONIST,Interleukin-17 receptor A antagonist,CHEMBL1742996,CHEMBL3580485
INHIBITOR,Heat shock protein 90 homolog inhibitor,CHEMBL1743009,CHEMBL3580503
ANTAGONIST,Integrin beta-7 antagonist,CHEMBL1743015,CHEMBL2979
INHIBITOR,Folate receptor alpha inhibitor,CHEMBL1743016,CHEMBL2121
ANTAGONIST,Insulin-like growth factor I receptor antagonist,CHEMBL1743019,CHEMBL1957
INHIBITOR,Beta-nerve growth factor inhibitor,CHEMBL1743023,CHEMBL1649058
ANTAGONIST,Insulin-like growth factor I receptor antagonist,CHEMBL1743024,CHEMBL1957
BINDING AGENT,Amyloid-beta A4 protein binding agent,CHEMBL1743025,CHEMBL2487
NEGATIVE ALLOSTERIC MODULATOR,Interleukin-1 beta negative allosteric modulator,CHEMBL1743026,CHEMBL1909490
OTHER,Carbonic anhydrase IX other,CHEMBL1743027,CHEMBL3594
INHIBITOR,Interleukin-13 inhibitor,CHEMBL1743035,CHEMBL3580486
INHIBITOR,Fusion glycoprotein F0 inhibitor,CHEMBL1743042,CHEMBL2364165
BINDING AGENT,CD22 binding agent,CHEMBL1743043,CHEMBL3218
ANTAGONIST,Hepatocyte growth factor receptor antagonist,CHEMBL1743051,CHEMBL3717
BINDING AGENT,T-cell surface glycoprotein CD3 epsilon chain binding agent,CHEMBL1743053,CHEMBL1975
INHIBITOR,Hepatocyte growth factor inhibitor,CHEMBL1743063,CHEMBL5479
INHIBITOR,Interleukin-6 inhibitor,CHEMBL1743071,CHEMBL1795129
BINDING AGENT,Amyloid-beta A4 protein binding agent,CHEMBL1743072,CHEMBL2487
INHIBITOR,Tumor necrosis factor ligand superfamily member 13B inhibitor,CHEMBL1743075,CHEMBL2364158
OTHER,T-cell surface glycoprotein CD3 epsilon chain other,CHEMBL1743078,CHEMBL1975
AGONIST,Tumor necrosis factor receptor superfamily member 10B agonist,CHEMBL1743080,CHEMBL1075153
INHIBITOR,Interleukin-13 inhibitor,CHEMBL1743081,CHEMBL3580486
ANTAGONIST,Epidermal growth factor receptor erbB1 antagonist,CHEMBL2107861,CHEMBL203
INHIBITOR,Sclerostin inhibitor,CHEMBL2107874,CHEMBL3580487
OTHER,Mucin-16 other,CHEMBL2107917,CHEMBL3580482
INHIBITOR,Complement C5 inhibitor,CHEMBL2107979,CHEMBL2364163
BINDING AGENT,B-lymphocyte antigen CD20 binding agent,CHEMBL2108041,CHEMBL2058
ANTAGONIST,Integrin alpha-5/beta-1 antagonist,CHEMBL2108061,CHEMBL2095226
OTHER,T-cell surface antigen CD4 other,CHEMBL2108063,CHEMBL2754
INHIBITOR,TNF-alpha inhibitor,CHEMBL2108208,CHEMBL1825
OTHER,CD22 other,CHEMBL2108228,CHEMBL3218
OTHER,Lipopolysaccharide (LPS) other,CHEMBL2108378,CHEMBL3580508
OTHER,Ganglioside GD3 other,CHEMBL2108442,CHEMBL3580507
INHIBITOR,TNF-alpha inhibitor,CHEMBL2108566,CHEMBL1825
INHIBITOR,Beta-nerve growth factor inhibitor,CHEMBL2108567,CHEMBL1649058
BINDING AGENT,Amyloid-beta A4 protein binding agent,CHEMBL2108576,CHEMBL2487
BINDING AGENT,CD22 binding agent,CHEMBL2108611,CHEMBL3218
INHIBITOR,Cytotoxic T-lymphocyte protein 4 inhibitor,CHEMBL2108658,CHEMBL2364164
ANTAGONIST,Interleukin-4 receptor subunit alpha antagonist,CHEMBL2108675,CHEMBL3580490
ANTAGONIST,Interleukin-6 receptor alpha subunit antagonist,CHEMBL2108730,CHEMBL2364155
INHIBITOR,T-cell surface glycoprotein CD3 epsilon chain inhibitor,CHEMBL2108811,CHEMBL1975
INHIBITOR,TNF-alpha inhibitor,CHEMBL2108887,CHEMBL1825
INHIBITOR,Transforming growth factor beta-2 inhibitor,CHEMBL2108967,CHEMBL3217393
OTHER,Myeloid cell surface antigen CD33 other,CHEMBL2109150,CHEMBL1842
INHIBITOR,Leukocyte adhesion glycoprotein LFA-1 alpha inhibitor,CHEMBL2109177,CHEMBL1803
INHIBITOR,T-lymphocyte activation antigen CD80 inhibitor,CHEMBL2109191,CHEMBL2364157
OTHER,Basigin other,CHEMBL2109193,CHEMBL3580492
BINDING AGENT,Mucin-1 binding agent,CHEMBL2109361,CHEMBL3580494
INHIBITOR,Receptor tyrosine-protein kinase erbB-3 inhibitor,CHEMBL2109406,CHEMBL5838
OTHER,"HLA class II histocompatibility antigen, DRB1-15 beta chain other",CHEMBL2109447,CHEMBL3831291
ANTAGONIST,T-cell receptor antagonist,CHEMBL2109592,CHEMBL3580506
BINDING AGENT,Vascular endothelial growth factor A binding agent,CHEMBL3707253,CHEMBL1783
INHIBITOR,Urushiol inhibitor,CHEMBL2109626,CHEMBL3580509
INHIBITOR,Interleukin-1 alpha inhibitor,CHEMBL2109653,CHEMBL3580496
BINDING AGENT,Carbonic anhydrase IX binding agent,CHEMBL3707280,CHEMBL3594
BINDING AGENT,Carbonic anhydrase IX binding agent,CHEMBL2108713,CHEMBL3594
BINDING AGENT,Carbonic anhydrase IX binding agent,CHEMBL3707297,CHEMBL3594
INHIBITOR,Subtilisin/kexin type 9 inhibitor,CHEMBL3137349,CHEMBL2929
MODULATOR,Voltage-gated calcium channel modulator,CHEMBL2103836,CHEMBL2363032
POSITIVE ALLOSTERIC MODULATOR,GABA receptor alpha-1 subunit positive allosteric modulator,CHEMBL262075,CHEMBL1962
INHIBITOR,Nonstructural protein 5A inhibitor,CHEMBL3039514,CHEMBL3307224
INHIBITOR,"Hepatitis C virus serine protease, NS3/NS4A inhibitor",CHEMBL2063090,CHEMBL2095231
MODULATOR,Synaptic vesicle glycoprotein 2A modulator,CHEMBL607400,CHEMBL1998
BINDING AGENT,Protective antigen binding agent,CHEMBL3544926,CHEMBL5352
INHIBITOR,Interleukin 17A inhibitor,CHEMBL1743034,CHEMBL3390822
INHIBITOR,Interleukin-5 inhibitor,CHEMBL2107884,CHEMBL1169600
INHIBITOR,Apoptosis regulator Bcl-2 inhibitor,CHEMBL3137309,CHEMBL4860
INHIBITOR,Programmed cell death 1 ligand 1 inhibitor,CHEMBL3707227,CHEMBL3580522
BLOCKER,Sodium channel alpha subunit blocker,CHEMBL1255654,CHEMBL2331043
ACTIVATOR,Plasminogen activator,CHEMBL3707226,CHEMBL1801
INHIBITOR,Acetylcholinesterase inhibitor,CHEMBL1201341,CHEMBL220
INHIBITOR,Tumor necrosis factor ligand superfamily member 13B inhibitor,CHEMBL1742986,CHEMBL2364158
INHIBITOR,Growth/differentiation factor 2 inhibitor,CHEMBL2109662,CHEMBL3831181
ANTAGONIST,Serotonin 6 (5-HT6) receptor antagonist,CHEMBL1083390,CHEMBL3371
BLOCKER,Voltage-gated potassium channel blocker,CHEMBL113461,CHEMBL2362996
INHIBITOR,Kinetoplast DNA inhibitor,CHEMBL2107359,CHEMBL2366047
AGONIST,Interferon alpha/beta receptor agonist,CHEMBL2107842,CHEMBL2364170
AGONIST,TRAIL receptor-1 agonist,CHEMBL2107846,CHEMBL3551
INHIBITOR,Telomerase reverse transcriptase inhibitor,CHEMBL2107856,CHEMBL2916
INHIBITOR,Blood group Rh(D) polypeptide inhibitor,CHEMBL2107859,CHEMBL3712996
AGONIST,Toll-like receptor 3 agonist,CHEMBL2107862,CHEMBL1075113
