drug_id,first_approval
CHEMBL675,1995
CHEMBL728,1956
CHEMBL1042,1999
CHEMBL1194,1965
CHEMBL1200534,1995
CHEMBL1200764,1986
CHEMBL1201780,2003
CHEMBL1201831,2008
CHEMBL1770248,2017
CHEMBL2105759,2017
CHEMBL2108675,2017
CHEMBL2364609,2019
CHEMBL4297990,2022
CHEMBL4298037,2023
CHEMBL6068423,2021
CHEMBL457,1981
CHEMBL468,1956
CHEMBL494,2003
CHEMBL513,1977
CHEMBL98,2006
CHEMBL14370,1997
CHEMBL56337,1992
CHEMBL972,1989
CHEMBL1025,1957
CHEMBL1073,1984
CHEMBL1393,1960
CHEMBL1653,1994
CHEMBL1717,1991
CHEMBL1095292,1982
CHEMBL1083659,2014
CHEMBL2105684,2020
CHEMBL3707227,2016
CHEMBL3936761,2019
CHEMBL3989698,1961
CHEMBL3989909,2023
CHEMBL3989944,2019
CHEMBL4298124,2021
CHEMBL4299940,2022
CHEMBL5314379,2021
CHEMBL6068328,2023
CHEMBL25,1950
CHEMBL526,1989
CHEMBL17879,2021
CHEMBL672,1993
CHEMBL704,1987
CHEMBL1108,1970
CHEMBL1311,1991
CHEMBL270190,2008
CHEMBL1671,1967
CHEMBL1200384,1975
CHEMBL1200750,1951
CHEMBL1201142,2005
CHEMBL1201167,2006
CHEMBL1201560,2002
CHEMBL1201584,1993
CHEMBL1201731,2007
CHEMBL1834657,2021
CHEMBL2107874,2019
CHEMBL2108175,2013
CHEMBL2443262,2020
CHEMBL3545132,2022
CHEMBL3590187,2020
CHEMBL3707243,2018
CHEMBL3707359,2022
CHEMBL3833353,2005
CHEMBL4297590,2022
CHEMBL4297756,2018
CHEMBL4297832,2022
CHEMBL404271,1995
CHEMBL1768,1948
CHEMBL1096882,1991
CHEMBL1200940,1979
CHEMBL1201108,2005
CHEMBL1201168,1959
CHEMBL1201538,1996
CHEMBL1201536,1984
CHEMBL1201644,1985
CHEMBL1201728,2008
CHEMBL1237055,1984
CHEMBL1743047,2015
CHEMBL1790041,1983
CHEMBL1800159,2019
CHEMBL2024517,2015
CHEMBL2108350,2010
CHEMBL2108594,2001
CHEMBL2338329,2021
CHEMBL2364648,2017
