target_chembl_id,target_name,uniprot_acc,ensembl_id
CHEMBL1876,Solute carrier family 12 member 3,P55017,ENSG00000070915
CHEMBL1877,Probable arabinosyltransferase A,P9WNL9,
CHEMBL2044,"4-aminobutyrate aminotransferase, mitochondrial",P80404,ENSG00000183044
CHEMBL1965,Adrenocorticotropic hormone receptor,Q01718,ENSG00000185231
CHEMBL238,Sodium-dependent dopamine transporter,Q01959,ENSG00000142319
CHEMBL1966,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Q02127,ENSG00000102967
CHEMBL2032,Growth hormone-releasing hormone receptor,Q02643,ENSG00000106128
CHEMBL1777,Cytochrome b,Q02768,
CHEMBL1793,Parathyroid hormone/parathyroid hormone-related peptide receptor,Q03431,ENSG00000160801
CHEMBL2015,"Glutamate receptor ionotropic, NMDA 1",Q05586,ENSG00000176884
CHEMBL1893,Synaptic vesicular amine transporter,Q05940,ENSG00000165646
CHEMBL239,Peroxisome proliferator-activated receptor alpha,Q07869,ENSG00000186951
CHEMBL2071,ATP-binding cassette sub-family C member 8,Q09428,ENSG00000006071
CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Q12809,ENSG00000055118
CHEMBL1972,"Glutamate receptor ionotropic, NMDA 2A",Q12879,ENSG00000183454
CHEMBL1874,Solute carrier family 12 member 1,Q13621,ENSG00000074803
CHEMBL1875,5-hydroxytryptamine receptor 4,Q13639,ENSG00000164270
CHEMBL1940,Voltage-dependent L-type calcium channel subunit alpha-1C,Q13936,ENSG00000151067
CHEMBL241,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",Q14432,ENSG00000172572
CHEMBL1927,"Thioredoxin reductase 1, cytoplasmic",Q16881,ENSG00000198431
CHEMBL242,Estrogen receptor beta,Q92731,ENSG00000140009
CHEMBL1997,Equilibrative nucleoside transporter 1,Q99808,ENSG00000112759
CHEMBL2001,P2Y purinoceptor 12,Q9H244,ENSG00000169313
CHEMBL2057,Dihydrofolate reductase,Q9UUP5,
CHEMBL1798,Cysteinyl leukotriene receptor 1,Q9Y271,ENSG00000173198
CHEMBL1949,Peptidyl-prolyl cis-trans isomerase A,P62937,ENSG00000196262
CHEMBL2058,B-lymphocyte antigen CD20,P11836,ENSG00000156738
CHEMBL1778,Interleukin-2 receptor subunit alpha,P01589,ENSG00000134460
CHEMBL1928,Large envelope protein,P31873,
CHEMBL1892,Glutamate carboxypeptidase 2,Q04609,ENSG00000086205
CHEMBL1825,Tumor necrosis factor,P01375,ENSG00000228321
CHEMBL2036,Tetanus toxin,P04958,
CHEMBL1783,"Vascular endothelial growth factor A, long form",P15692,ENSG00000112715
CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,P04626,ENSG00000141736
CHEMBL1803,Integrin alpha-L,P20701,ENSG00000005844
