ensembl_id,efo_id_norm,target_name,disease_name,phase,label
ENSG00000004779,MONDO_0004126,NDUFAB1,thyroiditis,2,0
ENSG00000004779,MONDO_0005148,NDUFAB1,type 2 diabetes mellitus,4,1
ENSG00000004779,MONDO_0005184,NDUFAB1,pancreatic ductal adenocarcinoma,2,0
ENSG00000004779,MONDO_0005301,NDUFAB1,multiple sclerosis,2,0
ENSG00000004779,MONDO_0005575,NDUFAB1,colorectal cancer,1,0
ENSG00000004779,MONDO_0008315,NDUFAB1,prostate cancer,2,0
ENSG00000004779,MONDO_0019391,NDUFAB1,Fanconi anemia,2,0
ENSG00000004779,MONDO_0021063,NDUFAB1,malignant colon neoplasm,2,0
ENSG00000004779,MP_0001845,NDUFAB1,inflammation,1,0
ENSG00000004799,EFO_0000181,PDK4,head and neck squamous cell carcinoma,2,0
ENSG00000004799,EFO_0000519,PDK4,glioblastoma multiforme,2,0
ENSG00000004799,EFO_0001361,PDK4,pulmonary arterial hypertension,1,0
ENSG00000004799,EFO_0003777,PDK4,heart disease,2,0
ENSG00000004799,MONDO_0005149,PDK4,pulmonary hypertension,1,0
ENSG00000004799,MONDO_0007254,PDK4,breast cancer,2,0
ENSG00000004799,MONDO_0008903,PDK4,lung cancer,2,0
ENSG00000004948,EFO_0001073,CALCR,obesity,2,0
ENSG00000004948,EFO_0003854,CALCR,postmenopausal osteoporosis,4,1
ENSG00000004948,EFO_0003882,CALCR,osteoporosis,4,1
ENSG00000004948,EFO_0004261,CALCR,osteitis deformans,4,1
ENSG00000004948,EFO_0005754,CALCR,parathyroid disease,4,1
ENSG00000004948,EFO_1000950,CALCR,giant cell reparative granuloma,2,0
ENSG00000004948,HP_0000938,CALCR,Osteopenia,2,0
ENSG00000004948,HP_0003072,CALCR,Hypercalcemia,4,1
ENSG00000004948,MONDO_0000837,CALCR,bone resorption disease,4,1
ENSG00000004948,MONDO_0002123,CALCR,calcinosis,2,0
ENSG00000004948,MONDO_0021165,CALCR,Paget disease,4,1
ENSG00000005339,EFO_0000222,CREBBP,acute myeloid leukemia,1,0
ENSG00000005339,EFO_0000339,CREBBP,chronic myelogenous leukemia,1,0
ENSG00000005339,EFO_0000616,CREBBP,neoplasm,1,0
ENSG00000005339,EFO_0001422,CREBBP,cirrhosis of liver,2,0
ENSG00000005339,MONDO_0015667,CREBBP,acute myeloid leukemia by FAB classification,1,0
ENSG00000005381,MONDO_0005180,MPO,Parkinson disease,2,0
ENSG00000005381,MONDO_0010857,MPO,semantic dementia,1,0
ENSG00000005844,EFO_0000274,ITGAL,atopic eczema,2,0
ENSG00000005844,EFO_0000540,ITGAL,immune system disease,1,0
ENSG00000005844,EFO_0000676,ITGAL,psoriasis,4,1
ENSG00000005844,EFO_0000685,ITGAL,rheumatoid arthritis,2,0
ENSG00000005844,EFO_0000699,ITGAL,Sjogren syndrome,2,0
ENSG00000005844,EFO_0003778,ITGAL,psoriatic arthritis,1,0
ENSG00000005844,EFO_0003966,ITGAL,eye disease,4,1
ENSG00000005844,EFO_1000710,ITGAL,hidradenitis suppurativa,1,0
ENSG00000005844,EFO_1000906,ITGAL,dry eye syndrome,4,1
ENSG00000005844,EFO_1001494,ITGAL,psoriasis vulgaris,4,1
ENSG00000005844,MONDO_0005147,ITGAL,type 1 diabetes mellitus,2,0
ENSG00000005844,MONDO_0013730,ITGAL,graft versus host disease,1,0
ENSG00000005844,MONDO_0019080,ITGAL,alopecia totalis,2,0
ENSG00000005882,EFO_0000181,PDK2,head and neck squamous cell carcinoma,2,0
ENSG00000005882,EFO_0000519,PDK2,glioblastoma multiforme,2,0
ENSG00000005882,EFO_0001361,PDK2,pulmonary arterial hypertension,1,0
ENSG00000005882,EFO_0003777,PDK2,heart disease,2,0
ENSG00000005882,MONDO_0005149,PDK2,pulmonary hypertension,1,0
ENSG00000005882,MONDO_0007254,PDK2,breast cancer,2,0
ENSG00000005882,MONDO_0008903,PDK2,lung cancer,2,0
ENSG00000005961,EFO_0000612,ITGA2B,myocardial infarction,4,1
ENSG00000005961,EFO_0000713,ITGA2B,subarachnoid hemorrhage,1,0
ENSG00000005961,EFO_0001645,ITGA2B,coronary artery disease,1,0
ENSG00000005961,EFO_0002615,ITGA2B,internal carotid artery stenosis,1,0
