efo_id_norm,ot_therapeutic_area,ot_ta_raw
EFO_0000373,CVRM,cardiovascular disease|phenotype
EFO_0000537,CVRM,cardiovascular disease|phenotype
EFO_0004272,Other,phenotype
MONDO_0004979,Respiratory,phenotype|respiratory or thoracic disease
EFO_0000195,Other,nutritional or metabolic disease
EFO_0000284,Oncology,cancer or benign tumor|reproductive system or breast disease
EFO_0000305,Oncology,integumentary system disease|reproductive system or breast disease|cancer or benign tumor
EFO_0000313,Oncology,cancer or benign tumor
EFO_0000407,CVRM,cardiovascular disease|musculoskeletal or connective tissue disease|phenotype
EFO_0000677,Other,psychiatric disorder|nervous system disease
EFO_0000707,Oncology,cancer or benign tumor
EFO_0001063,Other,nervous system disease
EFO_0002756,Other,biological_process
EFO_0003756,Other,psychiatric disorder|nervous system disease
EFO_0003758,Other,psychiatric disorder|nervous system disease|phenotype
EFO_0003929,Immunology,nervous system disease|immune system disease
EFO_0003943,Other,"injury, poisoning or other complication|musculoskeletal or connective tissue disease"
EFO_0004197,CVRM,infectious disease|gastrointestinal disease|endocrine system disease
EFO_0004229,Other,musculoskeletal or connective tissue disease
EFO_0004238,Other,nervous system disease
EFO_0004253,Other,urinary system disease
EFO_0004264,CVRM,cardiovascular disease
EFO_0004329,Other,biological_process
EFO_0004701,Other,psychiatric disorder|nervous system disease
EFO_0005207,CVRM,"cardiovascular disease|genetic, familial or congenital disease"
EFO_0005251,CVRM,cardiovascular disease
EFO_0005279,Other,musculoskeletal or connective tissue disease
EFO_0005611,Other,psychiatric disorder|nervous system disease
EFO_0005672,CVRM,cardiovascular disease
EFO_0006911,Other,phenotype
EFO_0007149,Immunology,"gastrointestinal disease|immune system disease|genetic, familial or congenital disease"
EFO_0007405,Other,disorder of visual system|nervous system disease
EFO_0007490,Other,musculoskeletal or connective tissue disease
EFO_0008507,Other,musculoskeletal or connective tissue disease|urinary system disease
EFO_0009276,CVRM,cardiovascular disease
EFO_0009619,Other,nervous system disease
EFO_0009620,Other,"injury, poisoning or other complication|musculoskeletal or connective tissue disease"
EFO_0009676,Other,musculoskeletal or connective tissue disease
EFO_0009688,Other,gastrointestinal disease
EFO_0009868,Other,medical procedure
EFO_0009963,Other,psychiatric disorder|nervous system disease
EFO_1000899,CVRM,cardiovascular disease|phenotype
EFO_1000994,CVRM,nervous system disease|cardiovascular disease
EFO_1001178,Other,musculoskeletal or connective tissue disease
EFO_1001219,Other,nervous system disease|phenotype
EFO_1001267,Rare Disease,"genetic, familial or congenital disease|cardiovascular disease"
EFO_1001434,Other,musculoskeletal or connective tissue disease
EFO_1001792,Other,"injury, poisoning or other complication|musculoskeletal or connective tissue disease"
EFO_1001996,Rare Disease,"genetic, familial or congenital disease|hematologic disease"
HP_0000020,Other,phenotype
HP_0001907,Other,phenotype
HP_0002027,Other,phenotype
HP_0004757,Other,phenotype
HP_0009926,Other,phenotype
HP_0030834,Other,phenotype
HP_0100543,Other,phenotype
HP_0100607,Other,phenotype
MONDO_0000728,Other,disorder of visual system
MONDO_0000812,Other,musculoskeletal or connective tissue disease
MONDO_0001572,Oncology,musculoskeletal or connective tissue disease|cancer or benign tumor
MONDO_0002009,Other,psychiatric disorder|nervous system disease
MONDO_0004976,Other,nervous system disease|phenotype
MONDO_0005299,CVRM,nervous system disease|cardiovascular disease
MONDO_0011377,Rare Disease,"genetic, familial or congenital disease|cardiovascular disease"
MONDO_0043373,Other,nervous system disease
MONDO_0043797,Other,"nervous system disease|injury, poisoning or other complication|musculoskeletal or connective tissue disease"
Orphanet_365,Rare Disease,"genetic, familial or congenital disease|nutritional or metabolic disease|cardiovascular disease|musculoskeletal or connective tissue disease"
Orphanet_79292,Other,nutritional or metabolic disease
EFO_0000676,Immunology,"immune system disease|integumentary system disease|genetic, familial or congenital disease"
EFO_0006890,Oncology,cancer or benign tumor
EFO_0000183,Rare Disease,"hematologic disease|genetic, familial or congenital disease|infectious disease|cancer or benign tumor"
EFO_0000191,Immunology,"gastrointestinal disease|hematologic disease|immune system disease|cancer or benign tumor|genetic, familial or congenital disease"
EFO_0000308,Respiratory,respiratory or thoracic disease|cancer or benign tumor
EFO_0005952,Rare Disease,"hematologic disease|genetic, familial or congenital disease|cancer or benign tumor"
EFO_1000028,Oncology,nervous system disease|cancer or benign tumor
EFO_1001951,Oncology,gastrointestinal disease|cancer or benign tumor
MONDO_0000873,Rare Disease,"hematologic disease|genetic, familial or congenital disease|cancer or benign tumor"
MONDO_0001023,Rare Disease,"hematologic disease|genetic, familial or congenital disease|cancer or benign tumor"
