efo_id,efo_term,max_phase_for_ind,molecule_chembl_id
EFO:0000712,stroke,3.0,CHEMBL1201460
EFO:0004272,anemia (phenotype),4.0,CHEMBL1201566
EFO:0000403,diffuse large B-cell lymphoma,3.0,CHEMBL1201566
EFO:0000198,myelodysplastic syndrome,3.0,CHEMBL1201566
EFO:0000095,chronic lymphocytic leukemia,2.0,CHEMBL1421
EFO:0000565,leukemia,3.0,CHEMBL1421
EFO:0001378,multiple myeloma,2.0,CHEMBL1421
EFO:0005952,non-Hodgkins lymphoma,1.0,CHEMBL1421
EFO:0003060,non-small cell lung carcinoma,2.0,CHEMBL1421
EFO:0002618,pancreatic carcinoma,2.0,CHEMBL1421
EFO:0000708,squamous cell lung carcinoma,2.0,CHEMBL1421
EFO:0000222,acute myeloid leukemia,3.0,CHEMBL1201129
EFO:0000198,myelodysplastic syndrome,4.0,CHEMBL1201129
EFO:0000266,aortic stenosis,2.0,CHEMBL1237023
EFO:0000305,breast carcinoma,4.0,CHEMBL1237023
EFO:0003882,osteoporosis,4.0,CHEMBL1237023
EFO:0003854,postmenopausal osteoporosis,4.0,CHEMBL1237023
EFO:0005323,post-operative sign or symptom,1.0,CHEMBL1200733
EFO:0005854,allergic rhinitis,4.0,CHEMBL1172
EFO:0005531,urticaria,4.0,CHEMBL1172
EFO:0005752,eye inflammation,4.0,CHEMBL384467
EFO:0001378,multiple myeloma,3.0,CHEMBL384467
EFO:0003843,pain,3.0,CHEMBL384467
EFO:0001663,prostate carcinoma,3.0,CHEMBL384467
EFO:0003888,attention deficit hyperactivity disorder,4.0,CHEMBL3544971
EFO:0003888,attention deficit hyperactivity disorder,4.0,CHEMBL3989844
EFO:0002496,actinic keratosis,3.0,CHEMBL1034
EFO:0005752,eye inflammation,4.0,CHEMBL139
EFO:0002970,muscular disease,3.0,CHEMBL1034
EFO:0004616,"osteoarthritis, knee",3.0,CHEMBL139
EFO:0003843,pain,4.0,CHEMBL1034
EFO:0003843,pain,4.0,CHEMBL1200804
EFO:0000685,rheumatoid arthritis,2.0,CHEMBL932
EFO:0000305,breast carcinoma,4.0,CHEMBL3545252
EFO:0000313,carcinoma,3.0,CHEMBL3545252
EFO:0000178,gastric carcinoma,4.0,CHEMBL3545252
EFO:0004252,nasopharyngeal neoplasm,3.0,CHEMBL3545252
EFO:0000616,neoplasm,4.0,CHEMBL3545252
EFO:0003060,non-small cell lung carcinoma,4.0,CHEMBL3545252
EFO:0000673,prostate adenocarcinoma,4.0,CHEMBL3545252
EFO:0001663,prostate carcinoma,4.0,CHEMBL3545252
EFO:0000708,squamous cell lung carcinoma,3.0,CHEMBL3545252
EFO:0004284,upper aerodigestive tract neoplasm,4.0,CHEMBL3545252
EFO:0000676,psoriasis,2.0,CHEMBL1200810
EFO:0000305,breast carcinoma,4.0,CHEMBL359744
EFO:0000574,lymphoma,3.0,CHEMBL359744
EFO:0000691,sarcoma,4.0,CHEMBL359744
EFO:0001663,prostate carcinoma,4.0,CHEMBL1200969
EFO:0004826,anti-neutrophil antibody associated vasculitis,2.0,CHEMBL1201828
EFO:0000676,psoriasis,4.0,CHEMBL1201575
EFO:0000555,irritable bowel syndrome,4.0,CHEMBL2159122
EFO:0000537,hypertension,4.0,CHEMBL1200659
EFO:0004286,venous thromboembolism,4.0,CHEMBL1201476
EFO:0000673,prostate adenocarcinoma,4.0,CHEMBL1082407
EFO:0000318,cardiomyopathy,3.0,CHEMBL1095097
EFO:0003884,chronic kidney disease,3.0,CHEMBL1095097
EFO:0000401,diabetic nephropathy,2.0,CHEMBL1095097
EFO:0003144,heart failure,4.0,CHEMBL1095097
EFO:0000537,hypertension,4.0,CHEMBL1095097
EFO:0004272,anemia (phenotype),4.0,CHEMBL1201565
EFO:0003884,chronic kidney disease,4.0,CHEMBL1201565
EFO:0000612,myocardial infarction,2.0,CHEMBL1201565
EFO:0000305,breast carcinoma,4.0,CHEMBL1683544
EFO:0000616,neoplasm,1.0,CHEMBL1683544
EFO:0000305,breast carcinoma,2.0,CHEMBL1079742
EFO:0000181,head and neck squamous cell carcinoma,2.0,CHEMBL1079742
EFO:0003060,non-small cell lung carcinoma,4.0,CHEMBL1079742
EFO:0000474,epilepsy,4.0,CHEMBL87992
EFO:0004263,partial epilepsy,3.0,CHEMBL87992
EFO:0003948,gastroesophageal reflux disease,4.0,CHEMBL5314366
EFO:0000305,breast carcinoma,4.0,CHEMBL135
EFO:0000545,infertility,3.0,CHEMBL1511
EFO:0001663,prostate carcinoma,2.0,CHEMBL1201649
EFO:0004698,insomnia,4.0,CHEMBL1522
EFO:0003898,ankylosing spondylitis,4.0,CHEMBL1201572
EFO:0002609,juvenile idiopathic arthritis,4.0,CHEMBL1201572
EFO:0000398,dermatomyositis,2.0,CHEMBL1201572
EFO:0000676,psoriasis,4.0,CHEMBL1201572
EFO:0000685,rheumatoid arthritis,4.0,CHEMBL1201572
EFO:0000474,epilepsy,4.0,CHEMBL696
EFO:0005755,rheumatic disease,4.0,CHEMBL622
EFO:0000537,hypertension,3.0,CHEMBL681
EFO:0000284,benign prostatic hyperplasia,2.0,CHEMBL1531
EFO:0000220,acute lymphoblastic leukemia,3.0,CHEMBL44657
EFO:0000574,lymphoma,3.0,CHEMBL1200645
EFO:0005672,acute coronary syndrome,1.0,CHEMBL1908360
EFO:0000231,adenoid cystic carcinoma,2.0,CHEMBL1908360
EFO:0000305,breast carcinoma,4.0,CHEMBL1908360
EFO:0000681,renal cell carcinoma,4.0,CHEMBL1908360
EFO:0000365,colorectal adenocarcinoma,2.0,CHEMBL1908360
EFO:0000588,mesothelioma,2.0,CHEMBL1908360
EFO:0000616,neoplasm,4.0,CHEMBL1908360
EFO:0003060,non-small cell lung carcinoma,2.0,CHEMBL1908360
EFO:0000691,sarcoma,2.0,CHEMBL1908360
EFO:0000702,small cell lung carcinoma,2.0,CHEMBL1908360
EFO:0000305,breast carcinoma,4.0,CHEMBL1200374
EFO:0000400,diabetes mellitus,4.0,CHEMBL414357
EFO:0000612,myocardial infarction,3.0,CHEMBL414357
EFO:0001073,obesity,3.0,CHEMBL414357
HP:0003124,Hypercholesterolemia,4.0,CHEMBL1138
EFO:0004280,movement disorder,2.0,CHEMBL902
HP:0004398,Peptic ulcer,4.0,CHEMBL902
EFO:0004274,gout,4.0,CHEMBL1164729
EFO:0000319,cardiovascular disease,4.0,CHEMBL672
