ensembl_id,efo_id_norm,overall_score,literature,somatic_mutation,clinical,affected_pathway,rna_expression,genetic_association,genetic_literature,animal_model
ENSG00000173692,EFO_0000095,0.0380205275506887,0.03495602086266821,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000197728,EFO_0000095,0.0380205275506887,0.03495602086266821,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000204264,EFO_0000095,0.03797433006885311,0.03343619386863916,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000089157,EFO_0000095,0.03797433006885311,0.03343619386863916,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000013275,EFO_0000095,0.03797433006885311,0.03343619386863916,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000149273,EFO_0000095,0.03788193510518194,0.030396539880581056,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000174444,EFO_0000095,0.03788193510518194,0.030396539880581056,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000126067,EFO_0000095,0.03788193510518194,0.030396539880581056,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000164587,EFO_0000095,0.03788193510518194,0.030396539880581056,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000137875,EFO_0000095,0.03783573762334635,0.028876712886552,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000129084,EFO_0000095,0.03775042627355663,0.026070099037578353,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000100902,EFO_0000095,0.037697145177839585,0.024317231904464845,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000144713,EFO_0000095,0.037697145177839585,0.024317231904464845,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000161970,EFO_0000095,0.0376920121243023,0.024148362238461615,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000154611,EFO_0000095,0.037650947696004,0.02279740491043579,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000122406,EFO_0000095,0.03764581464246671,0.02262853524443256,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000142676,EFO_0000095,0.03760475021416841,0.021277577916406734,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000041357,EFO_0000095,0.03751235525049724,0.01823792392834863,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000198034,EFO_0000095,0.03741996028682606,0.015198269940290528,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000159352,EFO_0000095,0.03741996028682606,0.015198269940290528,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000171863,EFO_0000095,0.037327565323154885,0.012158615952232422,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000172809,EFO_0000095,0.037327565323154885,0.012158615952232422,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000102287,EFO_0000095,0.037327565323154885,0.012158615952232422,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000100764,EFO_0000095,0.037327565323154885,0.012158615952232422,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000160712,EFO_0000095,0.037051112384326505,0.26673565748092465,0.0,0.030396539880581056,0.0,0.0,0.0,0.0,0.0
ENSG00000166441,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000130706,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000159377,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000103035,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000087191,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000083845,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000008018,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000108344,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000011677,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000277791,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000163285,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000163682,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000108107,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000182774,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000197756,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
ENSG00000100519,EFO_0000095,0.03695798546847018,0.0,0.0,0.06079307976116211,0.0,0.0,0.0,0.0,0.0
